game_id,season,week,away_team,home_team,kickoff,model_total,market_total_open,market_total_at_bet,line_basis,edge,side,recorded_at,actual_total,market_total_close,result,graded_at,protocol_version,book,quote_observed_at,quote_source,quote_id,price,price_status,model_version,quote_payload
401860878,2026,1,Wyoming,Colorado State,2026-09-05 22:00:00+00:00,48.63,,47.5,opener,1.13,OVER,2026-08-21T16:36:33+00:00,48.0,46.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401856637,2026,1,Florida Atlantic,Florida,2026-09-05 23:45:00+00:00,58.03,,56.5,opener,1.53,OVER,2026-08-21T16:36:33+00:00,87.0,59.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401858207,2026,1,Miami (OH),Pittsburgh,2026-09-05 16:30:00+00:00,51.42,,50.5,opener,0.92,OVER,2026-08-21T16:36:33+00:00,73.0,47.0,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401858204,2026,1,Akron,Wake Forest,2026-09-03 23:00:00+00:00,51.5,,49.5,opener,2.0,OVER,2026-08-21T16:36:33+00:00,54.0,50.5,WIN,2026-09-04T16:44:30+00:00,,,,,,,,,
401856780,2026,1,Coastal Carolina,West Virginia,2026-09-05 16:00:00+00:00,54.8,,57.5,opener,-2.7,UNDER,2026-08-21T16:36:33+00:00,55.0,54.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401864495,2026,1,San José State,Eastern Michigan,2026-09-04 22:30:00+00:00,55.17,,53.5,opener,1.67,OVER,2026-08-21T16:36:33+00:00,48.0,55.0,LOSS,2026-09-05T15:47:40+00:00,,,,,,,,,
401858429,2026,1,Toledo,Michigan State,2026-09-05 00:00:00+00:00,52.5,,49.5,opener,3.0,OVER,2026-08-21T16:36:33+00:00,50.0,48.5,WIN,2026-09-05T15:47:40+00:00,,,,,,,,,
401862695,2026,1,Arkansas State,Memphis,2026-09-05 23:00:00+00:00,58.2,,55.5,opener,2.7,OVER,2026-08-21T16:36:33+00:00,66.0,52.0,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401856664,2026,1,UTEP,Oklahoma,2026-09-05 00:00:00+00:00,46.75,,50.5,opener,-3.75,UNDER,2026-08-21T16:36:33+00:00,51.0,51.0,LOSS,2026-09-05T15:47:40+00:00,,,,,,,,,
401870763,2026,1,Sam Houston,Troy,2026-09-05 23:00:00+00:00,50.18,,51.5,current,-1.32,UNDER,2026-08-22T13:30:53+00:00,45.0,53.0,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401864494,2026,1,San José State,USC,2026-08-29 19:00:00+00:00,57.14,,59.5,current,-2.36,UNDER,2026-08-22T13:30:53+00:00,68.0,60.5,LOSS,2026-08-30T17:13:02+00:00,,,,,,,,,
401866408,2026,1,Sacramento State,Eastern Michigan,2026-08-29 22:30:00+00:00,58.51,52.5,53.5,current,5.01,OVER,2026-08-27T22:49:06+00:00,45.0,53.0,LOSS,2026-08-30T17:13:02+00:00,,,,,,,,,
401856772,2026,1,Oklahoma State,Tulsa,2026-09-05 19:45:00+00:00,54.16,61.5,60.0,current,-5.84,UNDER,2026-08-29T16:58:50+00:00,34.0,57.5,WIN,2026-09-06T15:59:30+00:00,,,,,,,,,
401860884,2026,2,UTSA,Texas State,2026-09-12 19:30:00+00:00,63.2,64.5,67.0,current,-3.8,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401864571,2026,2,App State,East Carolina,2026-09-12 16:00:00+00:00,59.32,56.5,56.5,current,2.82,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401858445,2026,2,Louisiana,USC,2026-09-13 03:00:00+00:00,56.13,60.0,59.5,current,-3.37,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401858440,2026,2,Eastern Michigan,Michigan State,2026-09-12 19:30:00+00:00,53.37,51.0,49.0,current,4.37,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401871045,2026,2,Middle Tennessee,Marshall,2026-09-12 23:00:00+00:00,58.86,57.5,57.0,current,1.86,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401866418,2026,2,Jacksonville State,Ohio,2026-09-12 22:00:00+00:00,54.65,51.5,50.5,current,4.15,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401864575,2026,2,South Alabama,Tulane,2026-09-12 23:00:00+00:00,53.41,50.5,49.5,current,3.91,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401858441,2026,2,Bowling Green,Nebraska,2026-09-12 23:00:00+00:00,48.22,52.0,51.5,current,-3.28,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401864578,2026,2,New Mexico State,Hawai'i,2026-09-13 03:59:00+00:00,52.68,50.5,50.5,current,2.18,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401856673,2026,2,Western Kentucky,Georgia,2026-09-12 16:45:00+00:00,54.42,54.0,55.5,current,-1.08,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401858219,2026,2,Georgia Southern,Clemson,2026-09-12 23:30:00+00:00,58.72,55.5,56.0,current,2.72,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401859184,2026,2,Rice,Notre Dame,2026-09-12 19:30:00+00:00,52.61,54.5,56.0,current,-3.39,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401862708,2026,2,UL Monroe,UAB,2026-09-12 19:30:00+00:00,53.48,56.0,56.0,current,-2.52,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401856676,2026,2,Charlotte,Ole Miss,2026-09-12 23:45:00+00:00,59.46,61.5,61.5,current,-2.04,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401862707,2026,2,Tulsa,Sam Houston,2026-09-12 23:00:00+00:00,52.05,52.0,51.5,current,0.55,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401869955,2026,2,Georgia State,Kennesaw State,2026-09-12 23:00:00+00:00,58.95,51.0,54.5,current,4.45,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401856671,2026,2,Southern Miss,Auburn,2026-09-12 23:45:00+00:00,53.53,53.0,57.5,current,-3.97,UNDER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401862703,2026,2,Navy,Florida Atlantic,2026-09-12 23:30:00+00:00,61.2,59.0,59.0,current,2.2,OVER,2026-09-08T17:05:10+00:00,,,,,,,,,,,,,
401858442,2026,2,Penn State,Temple,2026-09-12 16:00:00+00:00,55.73,49.5,50.0,current,5.73,OVER,2026-09-09T17:03:04+00:00,,,,,,,,,,,,,
